Stock_ID,Date,Instrument_Name,Price,Volume
Stock_1,2024-02-02,Apple,185.85,102550000
Stock_1,2024-02-01,Apple,186.86,53490000
Stock_1,2024-01-31,Apple,184.4,54830000
Stock_1,2024-01-30,Apple,188.04,55270000
Stock_1,2024-01-29,Apple,191.73,46890000
Stock_1,2024-01-26,Apple,192.42,44590000
Stock_1,2024-01-25,Apple,194.17,54530000
Stock_1,2024-01-24,Apple,194.5,53460000
Stock_1,2024-01-23,Apple,195.18,42200000
Stock_1,2024-01-22,Apple,193.89,60130000
Stock_1,2024-01-19,Apple,191.56,68900000
Stock_1,2024-01-18,Apple,188.63,77400000
Stock_1,2024-01-17,Apple,182.68,47190000
Stock_1,2024-01-16,Apple,183.63,65440000
Stock_1,2024-01-12,Apple,185.92,40480000
Stock_1,2024-01-11,Apple,185.59,49130000
Stock_1,2024-01-10,Apple,186.19,45900000
Stock_1,2024-01-09,Apple,185.14,42840000
Stock_1,2024-01-08,Apple,185.56,59140000
Stock_1,2024-01-05,Apple,181.18,62380000
Stock_1,2024-01-04,Apple,181.91,70700000
Stock_1,2024-01-03,Apple,184.25,56440000
Stock_1,2024-01-02,Apple,185.64,79820000
Stock_1,2023-12-29,Apple,192.53,42670000
Stock_1,2023-12-28,Apple,193.58,33830000
Stock_1,2023-12-27,Apple,193.15,47900000
Stock_1,2023-12-26,Apple,193.05,28810000
Stock_1,2023-12-22,Apple,193.6,37150000
Stock_1,2023-12-21,Apple,194.68,44080000
Stock_1,2023-12-20,Apple,194.83,50130000
Stock_1,2023-12-19,Apple,196.94,40230000
Stock_1,2023-12-18,Apple,195.89,55750000
Stock_1,2023-12-15,Apple,197.57,128540000
Stock_1,2023-12-14,Apple,198.11,65960000
Stock_1,2023-12-13,Apple,197.96,67760000
Stock_1,2023-12-12,Apple,194.71,51290000
Stock_1,2023-12-11,Apple,193.18,60780000
Stock_1,2023-12-08,Apple,195.71,53410000
Stock_1,2023-12-07,Apple,194.27,47340000
Stock_1,2023-12-06,Apple,192.32,40900000
Stock_1,2023-12-05,Apple,193.42,65350000
Stock_1,2023-12-04,Apple,189.43,43070000
Stock_1,2023-12-01,Apple,191.24,45700000
Stock_1,2023-11-30,Apple,189.95,47990000
Stock_1,2023-11-29,Apple,189.37,37940000
Stock_1,2023-11-28,Apple,190.4,37790000
Stock_1,2023-11-27,Apple,189.79,40400000
Stock_1,2023-11-24,Apple,189.97,24040000
Stock_1,2023-11-22,Apple,191.31,39630000
Stock_1,2023-11-21,Apple,190.64,38130000
Stock_1,2023-11-20,Apple,191.45,46540000
Stock_1,2023-11-17,Apple,189.69,50940000
Stock_1,2023-11-16,Apple,189.71,53990000
Stock_1,2023-11-15,Apple,188.01,53230000
Stock_1,2023-11-14,Apple,187.44,59710000
Stock_1,2023-11-13,Apple,184.8,41970000
Stock_1,2023-11-10,Apple,186.4,66180000
Stock_1,2023-11-09,Apple,182.41,52450000
Stock_1,2023-11-08,Apple,182.89,49180000
Stock_1,2023-11-07,Apple,181.82,70210000
Stock_1,2023-11-06,Apple,179.23,63650000
Stock_1,2023-11-03,Apple,176.65,79830000
Stock_1,2023-11-02,Apple,177.57,67020000
Stock_1,2023-11-01,Apple,173.97,56930000
Stock_1,2023-10-31,Apple,170.77,43520000
Stock_1,2023-10-30,Apple,170.29,50470000
Stock_1,2023-10-27,Apple,168.22,58500000
Stock_1,2023-10-26,Apple,166.89,69450000
Stock_1,2023-10-25,Apple,171.1,56600000
Stock_1,2023-10-24,Apple,173.44,43580000
Stock_1,2023-10-23,Apple,173,55240000
Stock_1,2023-10-20,Apple,172.88,64240000
Stock_1,2023-10-19,Apple,175.46,57620000
Stock_1,2023-10-18,Apple,175.84,54490000
Stock_1,2023-10-17,Apple,177.15,57420000
Stock_1,2023-10-16,Apple,178.72,52170000
Stock_1,2023-10-13,Apple,178.85,51460000
Stock_1,2023-10-12,Apple,180.71,56550000
Stock_1,2023-10-11,Apple,179.8,47040000
Stock_1,2023-10-10,Apple,178.39,43650000
Stock_1,2023-10-09,Apple,178.99,42390000
Stock_1,2023-10-06,Apple,177.49,57270000
Stock_1,2023-10-05,Apple,174.91,48380000
Stock_1,2023-10-04,Apple,173.66,52740000
Stock_1,2023-10-03,Apple,172.4,49040000
Stock_1,2023-10-02,Apple,173.75,52160000
Stock_1,2023-09-29,Apple,171.21,51860000
Stock_1,2023-09-28,Apple,170.69,56140000
Stock_1,2023-09-27,Apple,170.43,66500000
Stock_1,2023-09-26,Apple,171.96,64230000
